language,keyword,cluster,intent,priority,recommended_url,recommended_h1,recommended_title,recommended_meta_description,similar_keywords,page_exists,notes
UA,відкриття дверей Київ,doors,комерційний,високий,/avariine-vidkryttia-dverei/,Відкриття дверей київ,Відкриття дверей київ - OpenMe,"Відкриття дверей київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,відкриття квартири Київ,doors,комерційний,високий,/avariine-vidkryttia-dverei/,Відкриття квартири київ,Відкриття квартири київ - OpenMe,"Відкриття квартири київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,відкрити квартиру Київ,doors,комерційний,високий,/avariine-vidkryttia-dverei/,Відкрити квартиру київ,Відкрити квартиру київ - OpenMe,"Відкрити квартиру київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,заклинив замок у дверях,doors,інформаційний,середній,/avariine-vidkryttia-dverei/,Заклинив замок у дверях,Заклинив замок у дверях - OpenMe,"Заклинив замок у дверях у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,ключ зламався в замку,doors,інформаційний,середній,/avariine-vidkryttia-dverei/,Ключ зламався в замку,Ключ зламався в замку - OpenMe,"Ключ зламався в замку у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,ключ залишився у квартирі,doors,інформаційний,середній,/avariine-vidkryttia-dverei/,Ключ залишився у квартирі,Ключ залишився у квартирі - OpenMe,"Ключ залишився у квартирі у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,двері зачинились що робити,doors,інформаційний,середній,/avariine-vidkryttia-dverei/,Двері зачинились що робити,Двері зачинились що робити - OpenMe,"Двері зачинились що робити у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,відкриття авто Київ,car,комерційний,високий,/avariine-vidkryttia-avto/,Відкриття авто київ,Відкриття авто київ - OpenMe,"Відкриття авто київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,аварійне відкриття авто Київ,car,комерційний,високий,/avariine-vidkryttia-avto/,Аварійне відкриття авто київ,Аварійне відкриття авто київ - OpenMe,"Аварійне відкриття авто київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,відкрити машину Київ,car,комерційний,високий,/avariine-vidkryttia-avto/,Відкрити машину київ,Відкрити машину київ - OpenMe,"Відкрити машину київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,відкрити авто без пошкоджень,car,комерційний,високий,/avariine-vidkryttia-avto/,Відкрити авто без пошкоджень,Відкрити авто без пошкоджень - OpenMe,"Відкрити авто без пошкоджень у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,ключі залишились в машині,car,інформаційний,середній,/avariine-vidkryttia-avto/,Ключі залишились в машині,Ключі залишились в машині - OpenMe,"Ключі залишились в машині у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,машина закрилась ключі всередині,car,інформаційний,середній,/avariine-vidkryttia-avto/,Машина закрилась ключі всередині,Машина закрилась ключі всередині - OpenMe,"Машина закрилась ключі всередині у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,не відкривається авто Київ,car,інформаційний,середній,/avariine-vidkryttia-avto/,Не відкривається авто київ,Не відкривається авто київ - OpenMe,"Не відкривається авто київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,відкрити багажник Київ,car,комерційний,високий,/avariine-vidkryttia-avto/,Відкрити багажник київ,Відкрити багажник київ - OpenMe,"Відкрити багажник київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка аварійного відкриття авто покриває запит.
UA,відкрити сейф Київ,safe,комерційний,високий,/vidkryttia-seifiv/,Відкрити сейф київ,Відкрити сейф київ - OpenMe,"Відкрити сейф київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,відкриття сейфів Київ,safe,комерційний,високий,/vidkryttia-seifiv/,Відкриття сейфів київ,Відкриття сейфів київ - OpenMe,"Відкриття сейфів київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,аварійне відкриття сейфа,safe,комерційний,високий,/vidkryttia-seifiv/,Аварійне відкриття сейфа,Аварійне відкриття сейфа - OpenMe,"Аварійне відкриття сейфа у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,забув код від сейфа,safe,інформаційний,середній,/vidkryttia-seifiv/,Забув код від сейфа,Забув код від сейфа - OpenMe,"Забув код від сейфа у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,сейф не відкривається,safe,інформаційний,середній,/vidkryttia-seifiv/,Сейф не відкривається,Сейф не відкривається - OpenMe,"Сейф не відкривається у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,загубив ключ від сейфа,safe,інформаційний,середній,/vidkryttia-seifiv/,Загубив ключ від сейфа,Загубив ключ від сейфа - OpenMe,"Загубив ключ від сейфа у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Сторінка відкриття сейфів відповідає запиту.
UA,відкрити гараж Київ,garage,комерційний,високий,/vidkryttia-harazhiv/,Відкрити гараж київ,Відкрити гараж київ - OpenMe,"Відкрити гараж київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою відкриття гаражів.
UA,відкриття гаража Київ,garage,комерційний,високий,/vidkryttia-harazhiv/,Відкриття гаража київ,Відкриття гаража київ - OpenMe,"Відкриття гаража київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою відкриття гаражів.
UA,заклинив гаражний замок,garage,комерційний,середній,/vidkryttia-harazhiv/,Заклинив гаражний замок,Заклинив гаражний замок - OpenMe,"Заклинив гаражний замок у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою відкриття гаражів.
UA,відкрити навісний замок Київ,garage,комерційний,високий,/vidkryttia-harazhiv/,Відкрити навісний замок київ,Відкрити навісний замок київ - OpenMe,"Відкрити навісний замок київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою відкриття гаражів.
UA,майстер по гаражних замках,garage,комерційний,середній,/vidkryttia-harazhiv/,Майстер по гаражних замках,Майстер по гаражних замках - OpenMe,"Майстер по гаражних замках у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою відкриття гаражів.
UA,ремонт замків Київ,repair,комерційний,високий,/remont-zamina-zamkiv/,Ремонт замків київ,Ремонт замків київ - OpenMe,"Ремонт замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,заміна замків Київ,repair,комерційний,високий,/remont-zamina-zamkiv/,Заміна замків київ,Заміна замків київ - OpenMe,"Заміна замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,заміна серцевини замка Київ,repair,комерційний,високий,/remont-zamina-zamkiv/,Заміна серцевини замка київ,Заміна серцевини замка київ - OpenMe,"Заміна серцевини замка київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,ремонт дверного замка,repair,комерційний,високий,/remont-zamina-zamkiv/,Ремонт дверного замка,Ремонт дверного замка - OpenMe,"Ремонт дверного замка у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,заміна замка після втрати ключів,repair,комерційний,високий,/remont-zamina-zamkiv/,Заміна замка після втрати ключів,Заміна замка після втрати ключів - OpenMe,"Заміна замка після втрати ключів у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,заміна замка після злому,repair,комерційний,високий,/remont-zamina-zamkiv/,Заміна замка після злому,Заміна замка після злому - OpenMe,"Заміна замка після злому у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,заклинив замок що робити,repair,інформаційний,середній,/remont-zamina-zamkiv/,Заклинив замок що робити,Заклинив замок що робити - OpenMe,"Заклинив замок що робити у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,майстер по ремонту замків Київ,repair,комерційний,високий,/remont-zamina-zamkiv/,Майстер по ремонту замків київ,Майстер по ремонту замків київ - OpenMe,"Майстер по ремонту замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою ремонту і заміни замків.
UA,відкрити замок Оболонь,districts,локальний,середній,/raiony/obolon/,Відкрити замок оболонь,Відкрити замок оболонь - OpenMe,"Відкрити замок оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Оболонь,districts,локальний,середній,/raiony/obolon/,Відкриття дверей оболонь,Відкриття дверей оболонь - OpenMe,"Відкриття дверей оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Оболонь,districts,локальний,середній,/raiony/obolon/,Аварійне відкриття дверей оболонь,Аварійне відкриття дверей оболонь - OpenMe,"Аварійне відкриття дверей оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Оболонь,districts,локальний,середній,/raiony/obolon/,Відкриття авто оболонь,Відкриття авто оболонь - OpenMe,"Відкриття авто оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Оболонь,districts,локальний,середній,/raiony/obolon/,Ремонт замків оболонь,Ремонт замків оболонь - OpenMe,"Ремонт замків оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Оболонь,districts,локальний,середній,/raiony/obolon/,Заміна замків оболонь,Заміна замків оболонь - OpenMe,"Заміна замків оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Оболонь,districts,локальний,середній,/raiony/obolon/,Майстер по замках оболонь,Майстер по замках оболонь - OpenMe,"Майстер по замках оболонь у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Позняки,districts,локальний,середній,/raiony/pozniaky/,Відкрити замок позняки,Відкрити замок позняки - OpenMe,"Відкрити замок позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Позняки,districts,локальний,середній,/raiony/pozniaky/,Відкриття дверей позняки,Відкриття дверей позняки - OpenMe,"Відкриття дверей позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Позняки,districts,локальний,середній,/raiony/pozniaky/,Аварійне відкриття дверей позняки,Аварійне відкриття дверей позняки - OpenMe,"Аварійне відкриття дверей позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Позняки,districts,локальний,середній,/raiony/pozniaky/,Відкриття авто позняки,Відкриття авто позняки - OpenMe,"Відкриття авто позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Позняки,districts,локальний,середній,/raiony/pozniaky/,Ремонт замків позняки,Ремонт замків позняки - OpenMe,"Ремонт замків позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Позняки,districts,локальний,середній,/raiony/pozniaky/,Заміна замків позняки,Заміна замків позняки - OpenMe,"Заміна замків позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Позняки,districts,локальний,середній,/raiony/pozniaky/,Майстер по замках позняки,Майстер по замках позняки - OpenMe,"Майстер по замках позняки у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Печерськ,districts,локальний,середній,/raiony/pechersk/,Відкрити замок печерськ,Відкрити замок печерськ - OpenMe,"Відкрити замок печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Печерськ,districts,локальний,середній,/raiony/pechersk/,Відкриття дверей печерськ,Відкриття дверей печерськ - OpenMe,"Відкриття дверей печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Печерськ,districts,локальний,середній,/raiony/pechersk/,Аварійне відкриття дверей печерськ,Аварійне відкриття дверей печерськ - OpenMe,"Аварійне відкриття дверей печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Печерськ,districts,локальний,середній,/raiony/pechersk/,Відкриття авто печерськ,Відкриття авто печерськ - OpenMe,"Відкриття авто печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Печерськ,districts,локальний,середній,/raiony/pechersk/,Ремонт замків печерськ,Ремонт замків печерськ - OpenMe,"Ремонт замків печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Печерськ,districts,локальний,середній,/raiony/pechersk/,Заміна замків печерськ,Заміна замків печерськ - OpenMe,"Заміна замків печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Печерськ,districts,локальний,середній,/raiony/pechersk/,Майстер по замках печерськ,Майстер по замках печерськ - OpenMe,"Майстер по замках печерськ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Відкрити замок троєщина,Відкрити замок троєщина - OpenMe,"Відкрити замок троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Відкриття дверей троєщина,Відкриття дверей троєщина - OpenMe,"Відкриття дверей троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Аварійне відкриття дверей троєщина,Аварійне відкриття дверей троєщина - OpenMe,"Аварійне відкриття дверей троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Відкриття авто троєщина,Відкриття авто троєщина - OpenMe,"Відкриття авто троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Ремонт замків троєщина,Ремонт замків троєщина - OpenMe,"Ремонт замків троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Заміна замків троєщина,Заміна замків троєщина - OpenMe,"Заміна замків троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Троєщина,districts,локальний,середній,/raiony/troieshchyna/,Майстер по замках троєщина,Майстер по замках троєщина - OpenMe,"Майстер по замках троєщина у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Відкрити замок солом’янський район,Відкрити замок солом’янський район - OpenMe,"Відкрити замок солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Відкриття дверей солом’янський район,Відкриття дверей солом’янський район - OpenMe,"Відкриття дверей солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Аварійне відкриття дверей солом’янський район,Аварійне відкриття дверей солом’янський район - OpenMe,"Аварійне відкриття дверей солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Відкриття авто солом’янський район,Відкриття авто солом’янський район - OpenMe,"Відкриття авто солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Ремонт замків солом’янський район,Ремонт замків солом’янський район - OpenMe,"Ремонт замків солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Заміна замків солом’янський район,Заміна замків солом’янський район - OpenMe,"Заміна замків солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Солом’янський район,districts,локальний,середній,/raiony/solomianskyi-raion/,Майстер по замках солом’янський район,Майстер по замках солом’янський район - OpenMe,"Майстер по замках солом’янський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Відкрити замок шевченківський район,Відкрити замок шевченківський район - OpenMe,"Відкрити замок шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Відкриття дверей шевченківський район,Відкриття дверей шевченківський район - OpenMe,"Відкриття дверей шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Аварійне відкриття дверей шевченківський район,Аварійне відкриття дверей шевченківський район - OpenMe,"Аварійне відкриття дверей шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Відкриття авто шевченківський район,Відкриття авто шевченківський район - OpenMe,"Відкриття авто шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Ремонт замків шевченківський район,Ремонт замків шевченківський район - OpenMe,"Ремонт замків шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Заміна замків шевченківський район,Заміна замків шевченківський район - OpenMe,"Заміна замків шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Шевченківський район,districts,локальний,середній,/raiony/shevchenkivskyi-raion/,Майстер по замках шевченківський район,Майстер по замках шевченківський район - OpenMe,"Майстер по замках шевченківський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Відкрити замок голосіївський район,Відкрити замок голосіївський район - OpenMe,"Відкрити замок голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Відкриття дверей голосіївський район,Відкриття дверей голосіївський район - OpenMe,"Відкриття дверей голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Аварійне відкриття дверей голосіївський район,Аварійне відкриття дверей голосіївський район - OpenMe,"Аварійне відкриття дверей голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Відкриття авто голосіївський район,Відкриття авто голосіївський район - OpenMe,"Відкриття авто голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Ремонт замків голосіївський район,Ремонт замків голосіївський район - OpenMe,"Ремонт замків голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Заміна замків голосіївський район,Заміна замків голосіївський район - OpenMe,"Заміна замків голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Голосіївський район,districts,локальний,середній,/raiony/holosiivskyi-raion/,Майстер по замках голосіївський район,Майстер по замках голосіївський район - OpenMe,"Майстер по замках голосіївський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Відкрити замок дарницький район,Відкрити замок дарницький район - OpenMe,"Відкрити замок дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Відкриття дверей дарницький район,Відкриття дверей дарницький район - OpenMe,"Відкриття дверей дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Аварійне відкриття дверей дарницький район,Аварійне відкриття дверей дарницький район - OpenMe,"Аварійне відкриття дверей дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Відкриття авто дарницький район,Відкриття авто дарницький район - OpenMe,"Відкриття авто дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Ремонт замків дарницький район,Ремонт замків дарницький район - OpenMe,"Ремонт замків дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Заміна замків дарницький район,Заміна замків дарницький район - OpenMe,"Заміна замків дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Дарницький район,districts,локальний,середній,/raiony/darnytskyi-raion/,Майстер по замках дарницький район,Майстер по замках дарницький район - OpenMe,"Майстер по замках дарницький район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
